mag_z,gyro_y,gyro_x,mag_y,gyro_z,mag_x,accel_y,accel_x,accel_z,time
83.6875,0.0033333333333333335,-0.0033333333333333335,-47.375,-0.0022222222222222222,-30.375,-2.67,2.61,9.13,2877.122565827
83.25,0.0,0.0,-48.1875,0.0022222222222222222,-30.375,-2.68,2.62,9.08,2877.162851979
83.6875,-0.0033333333333333335,0.0011111111111111111,-47.0,0.0011111111111111111,-30.375,-2.67,2.61,9.13,2877.205275621
84.5,-0.0044444444444444444,0.0011111111111111111,-47.75,0.0011111111111111111,-30.0625,-2.66,2.66,9.11,2877.244655163
83.25,0.0011111111111111111,0.0011111111111111111,-46.6875,0.0011111111111111111,-30.75,-2.66,2.62,9.1,2877.298263541
82.5,-0.0011111111111111111,-0.0044444444444444444,-47.375,-0.0011111111111111111,-30.0625,-2.68,2.65,9.09,2877.353445869
83.6875,0.0022222222222222222,-0.0033333333333333335,-47.375,-0.0033333333333333335,-30.375,-2.67,2.63,9.12,2877.394143633
84.0625,0.0022222222222222222,-0.0011111111111111111,-47.375,-0.0011111111111111111,-30.375,-2.66,2.64,9.07,2877.434167704
84.0625,-0.0022222222222222222,0.0011111111111111111,-47.375,0.0011111111111111111,-30.375,-2.68,2.64,9.12,2877.474617606
83.6875,0.0,0.0033333333333333335,-47.75,0.0011111111111111111,-30.0625,-2.66,2.64,9.12,2877.514712769
83.6875,0.0,0.0011111111111111111,-47.375,0.0011111111111111111,-30.0625,-2.66,2.63,9.1,2877.557403597
82.875,0.0,-0.0022222222222222222,-47.0,-0.0033333333333333335,-30.375,-2.68,2.63,9.12,2877.607045432
83.25,0.0,-0.0022222222222222222,-46.6875,-0.0033333333333333335,-30.375,-2.64,2.62,9.09,2877.651482814
84.0625,0.0044444444444444444,0.0,-47.75,0.0011111111111111111,-30.375,-2.69,2.64,9.13,2877.690894127
84.0625,0.0011111111111111111,0.0022222222222222222,-47.75,-0.0011111111111111111,-30.375,-2.69,2.63,9.1,2877.735396664
85.25,0.0033333333333333335,0.0,-48.5,-0.0011111111111111111,-30.375,-2.67,2.66,9.13,2877.776312189
