lin_accel_x,gyro_y,mag_z,lin_accel_y,lin_accel_z,mag_x,gyro_z,gyro_x,accel_x,mag_y,accel_y,accel_z,long,lat,time,heading
0.07,0.014444444444444444,43.25,0.0,0.12,-58.375,0.005555555555555557,-0.02555555555555556,-0.41,-13.75,-2.32,9.64,-122.67541666666666,45.55033333333334,408.05794542900003,158.41089041027146
0.09,0.03222222222222222,42.875,0.0,0.12,-59.5,-0.012222222222222223,-0.03666666666666667,-0.42,-14.875,-2.32,9.62,-122.67541666666666,45.55033333333334,408.10623298900003,158.44327092348328
0.05,0.03555555555555556,43.6875,-0.09,0.19,-58.375,-0.014444444444444444,-0.03,-0.44,-13.0,-2.35,9.64,-122.67541666666666,45.55033333333334,408.278165709,158.91139190347783
0.05,0.031111111111111114,43.25,0.1,0.1,-58.75,-0.03333333333333333,0.0033333333333333327,-0.42,-13.375,-2.35,9.73,-122.67541666666666,45.55033333333334,408.365482464,159.06897581213244
-0.03,0.02666666666666667,43.6875,0.0,0.0,-58.375,-0.014444444444444444,-0.022222222222222227,-0.55,-13.75,-2.42,9.66,-122.67541666666666,45.55033333333334,408.43244873300006,159.1537506459425
0.05,-0.054444444444444434,42.5,-0.09,0.13,-58.0625,0.005555555555555557,0.06222222222222223,-0.51,-13.75,-2.27,9.63,-122.67541666666666,45.55033333333334,408.484157503,159.21618637216446
0.04,-0.05333333333333334,43.25,0.06,-0.07,-58.75,0.02,0.07666666666666666,-0.46,-13.375,-2.42,9.64,-122.67541666666666,45.55033333333334,408.53759997599997,159.3014872876787
0.13,-0.06444444444444444,43.25,-0.02,0.28,-59.5,0.02333333333333333,0.05,-0.45,-13.375,-2.2,9.42,-122.67541666666666,45.55033333333334,408.589255985,159.39739396275738
0.04,-0.02,42.5,0.06,0.03,-58.375,-0.005555555555555557,0.04666666666666667,-0.35,-14.1875,-2.28,9.81,-122.67541666666666,45.55033333333334,408.63784771300004,159.41650864341014
0.04,0.0011111111111111113,42.875,-0.06,0.17,-58.75,-0.017777777777777778,0.013333333333333334,-0.4,-13.75,-2.16,9.56,-122.67541666666666,45.55033333333334,408.689473253,159.46883581414806
0.03,0.011111111111111113,42.5,0.03,0.01,-59.1875,-0.01,0.0033333333333333327,-0.43,-14.1875,-2.28,9.72,-122.67541666666666,45.55033333333334,408.74907027800003,159.4797924137192
0.01,0.012222222222222223,41.6875,-0.08,0.18,-59.1875,-0.006666666666666667,-0.02333333333333333,-0.38,-14.5,-2.24,9.6,-122.67541666666666,45.55033333333334,408.810349236,159.45882154986253
0.0,0.0033333333333333327,42.875,-0.05,0.15,-59.1875,-0.0011111111111111113,0.011111111111111113,-0.44,-14.5,-2.28,9.54,-122.67541666666666,45.55033333333334,408.87730347400003,159.45763679360834
0.1,0.0011111111111111113,42.5,0.03,0.12,-58.375,0.007777777777777778,-0.01,-0.47,-14.1875,-2.31,9.68,-122.67541666666666,45.55033333333334,408.93404418800003,159.47267918292
0.0,0.0033333333333333327,42.5,-0.06,0.11,-58.375,0.01,-0.03222222222222222,-0.36,-14.1875,-2.22,9.65,-122.67541666666666,45.55033333333334,408.98750660900004,159.49229686735958
0.08,-0.008888888888888889,42.875,-0.03,0.29,-58.375,0.01,0.017777777777777778,-0.47,-14.875,-2.33,9.64,-122.67541666666666,45.55033333333334,409.05445366,159.4590006127706
0.06,0.024444444444444446,42.875,0.01,0.12,-59.5,-0.006666666666666667,-0.0011111111111111113,-0.4,-14.1875,-2.32,9.78,-122.67541666666666,45.55033333333334,409.116242411,159.49346359824858
0.0,-0.0022222222222222227,41.6875,-0.01,0.1,-58.75,-0.008888888888888889,-0.01,-0.4,-14.1875,-2.24,9.65,-122.67541666666666,45.55033333333334,409.15797302199996,159.5012434207801
